driver_id,driver_name,phone_number,license_number,hire_date,status,primary_zone,vehicle_make,vehicle_model,created_at
56,Thomas Figueroa,450-652-3396x76,98Q WJ0,2023-09-11,active,3,Chevrolet,Equinox,2023-10-03
57,Tammy Weber,(442)755-0991,1WQ 496,2024-04-19,active,6,Nissan,Rogue,2024-04-23
58,Sharon Cook,546-939-2629x56,547 ZQD,2025-07-19,active,1,Honda,CR-V,2025-08-11
59,Hayley Bond,(812)770-3431,418 QDR,2024-07-14,active,1,Ford,Fusion,2024-08-01
60,Roberto Levy,531.394.5879x58,2P 3928L,2024-01-12,active,2,Nissan,Altima,2024-02-11
61,Julia Harrison,001-583-800-176,3LD Y49,2023-09-26,active,1,Honda,CR-V,2023-09-28
62,Joyce Jimenez,+1-418-996-1836,HZE-387,2024-08-05,active,4,Honda,Accord,2024-09-04
63,Melissa Campbell,(433)903-8587x5,LVT 036,2025-04-27,active,5,Honda,CR-V,2025-04-28
64,Kristie Rowe,679.826.8021,MIU 549,2024-04-10,active,6,Chevrolet,Equinox,2024-05-09
65,Brett Rogers,(469)551-9641,WS 8159,2024-02-06,active,2,Ford,Escape,2024-02-18
66,Kevin Terry,672.890.0542,ENP2777,2024-06-24,active,4,Ford,Escape,2024-07-23
67,Kathleen Green,562-863-0319,IOG 617,2024-08-17,active,1,Toyota,RAV4,2024-09-05
68,Jessica Simmons,(992)366-4693,500-FWJ,2025-05-28,active,1,Toyota,Corolla,2025-06-13
69,Brian Suarez,(729)282-5891x5,JWL-5336,2024-11-18,active,1,Ford,Fusion,2024-11-29
70,Carol Hansen,(465)254-5904x6,688-ABT,2025-07-07,active,5,Chevrolet,Equinox,2025-07-26
71,Andrew Strong,+1-795-362-0996,6GW32,2024-06-13,active,1,Nissan,Rogue,2024-07-12
72,Christian Simmons,640.202.1721x60,76-6853G,2024-10-19,active,3,Honda,Accord,2024-11-16
73,Lisa Mcdonald,210.832.6876x58,APD-246,2025-02-13,active,2,Nissan,Rogue,2025-02-22
74,James Scott,(321)511-8130x7,WQ6 B3A,2024-05-05,active,2,Ford,Explorer,2024-05-25
75,Justin Garrett,3808347521,9DS2617,2024-08-31,active,4,Nissan,Rogue,2024-09-28
76,Alexander Carter,+1-970-694-9705,028PII,2025-06-10,active,1,Toyota,RAV4,2025-07-06
77,Latasha Clayton,001-583-384-201,469 NRG,2024-02-22,active,3,Toyota,Corolla,2024-03-13
78,Marcus Ewing,+1-252-693-4557,UAO3090,2023-07-27,active,6,Honda,Civic,2023-08-13
79,Heather Davenport,001-311-965-643,TQ9 E1B,2024-03-29,active,1,Nissan,Altima,2024-03-31
80,Mark Carter,976-620-3375,3XA7863,2025-03-15,active,5,Honda,Accord,2025-04-10
81,Olivia Moore,742.934.7214,394 TJF,2024-01-19,active,2,Nissan,Rogue,2024-01-23
82,Christopher Pruitt,3016631033,EXW Y44,2025-04-01,inactive,1,Ford,Escape,2025-04-07
83,Mr. Stuart Wise Jr.,(514)363-8066x4,ZT0 9273,2024-02-17,active,3,Toyota,RAV4,2024-03-07
84,Thomas Davis,001-775-551-989,C41-16E,2024-09-15,active,2,Honda,Accord,2024-10-13
85,Crystal Sawyer,+1-412-413-4635,938854,2025-03-30,active,6,Honda,Civic,2025-04-24
86,Jim Daugherty,841-726-3704x33,680ZV,2024-05-30,active,3,Honda,Accord,2024-06-24
87,Carrie Arias,(222)946-9923,6711 RC,2025-07-13,active,1,Chevrolet,Equinox,2025-07-20
88,Dwayne Bowen,+1-456-512-4697,WKH 674,2023-11-29,active,3,Chevrolet,Equinox,2023-12-25
89,Michael Jones,(748)922-5728,2-08132,2024-09-13,active,2,Honda,Accord,2024-10-04
90,Amber Richardson,(363)915-7872x5,ROS-8731,2023-12-14,active,3,Ford,Fusion,2024-01-13
91,Shawn Rhodes,404-711-9000x12,55LS529,2024-03-20,active,6,Ford,Explorer,2024-04-01
92,James Simon,627.837.7240,892-LPZ,2023-12-31,active,3,Nissan,Altima,2024-01-03
93,Ashley Anderson,(439)376-5133x6,34-2841Z,2025-03-21,active,2,Ford,Explorer,2025-04-20
94,Morgan Smith,942.441.3429,88AY4,2024-07-03,active,1,Toyota,RAV4,2024-07-14
95,Sergio Joyce PhD,+1-343-958-5874,VTT1024,2025-04-08,active,4,Ford,Explorer,2025-04-24
96,Brittany Ross,671.556.8381,VN5 A1T,2023-08-16,active,2,Nissan,Rogue,2023-08-17
97,Karen Thomas,(437)960-4568x1,HK9 V9R,2024-09-28,active,5,Toyota,Corolla,2024-10-09
98,Dr. Lauren Gomez,882-454-2932,16D 0067,2025-04-07,active,5,Ford,Escape,2025-04-28
99,Lorraine Duffy,(725)342-6317x8,214 UPH,2023-07-24,active,5,Ford,Escape,2023-08-14
100,Shane Allen,909-616-9090,STL-5599,2024-12-04,active,6,Chevrolet,Equinox,2024-12-21
